fips,state_fips,county_name,state_name,annual_total_change,annual_natural_change,annual_births,annual_deaths,annual_net_migration_total,annual_international_migration,annual_domestic_migration,cumulative_total_change,cumulative_natural_change,cumulative_births,cumulative_deaths,cumulative_net_migration_total,cumulative_international_migration,cumulative_domestic_migration
01001,01,Autauga County,Alabama,444,131,730,599,311,66,245,3115,421,3781,3360,2644,359,2285
01003,01,Baldwin County,Alabama,6109,-272,2477,2749,6416,404,6012,35983,-1926,12900,14826,37768,3245,34523
01005,01,Barbour County,Alabama,87,-52,267,319,139,66,73,-618,-388,1403,1791,-190,268,-458
01007,01,Bibb County,Alabama,37,-59,239,298,95,23,72,-23,-294,1273,1567,268,73,195
01009,01,Blount County,Alabama,-17,-90,680,770,69,-12,81,1031,-751,3514,4265,1727,145,1582
01011,01,Bullock County,Alabama,-83,-58,100,158,-26,7,-33,-577,-246,534,780,-317,60,-377
01013,01,Butler County,Alabama,-176,-109,190,299,-68,14,-82,-944,-520,1056,1576,-425,69,-494
01015,01,Calhoun County,Alabama,-469,-442,1247,1689,-32,37,-69,-605,-2493,6750,9243,1831,334,1497
01017,01,Chambers County,Alabama,-56,-98,402,500,40,49,-9,-443,-639,2111,2750,181,759,-578
01019,01,Cherokee County,Alabama,325,-213,198,411,537,26,511,1432,-1103,1153,2256,2495,125,2370
01021,01,Chilton County,Alabama,344,17,608,591,327,137,190,2702,-165,3025,3190,2821,593,2228
01023,01,Choctaw County,Alabama,-186,-105,89,194,-81,-3,-78,-763,-427,624,1051,-334,3,-337
01025,01,Clarke County,Alabama,-113,-91,251,342,-23,3,-26,-1072,-525,1421,1946,-546,14,-560
01027,01,Clay County,Alabama,-5,-52,153,205,47,-2,49,-33,-351,806,1157,317,-1,318
01029,01,Cleburne County,Alabama,132,-92,160,252,227,-5,232,918,-381,894,1275,1276,13,1263
01031,01,Coffee County,Alabama,471,39,651,612,435,84,351,3486,83,3529,3446,3371,779,2592
01033,01,Colbert County,Alabama,401,-134,665,799,538,124,414,2243,-886,3434,4320,3103,484,2619
01035,01,Conecuh County,Alabama,-146,-125,108,233,-20,4,-24,-698,-546,618,1164,-152,27,-179
01037,01,Coosa County,Alabama,-123,-98,69,167,-23,-3,-20,-231,-467,423,890,246,-9,255
01039,01,Covington County,Alabama,-19,-155,445,600,134,0,134,383,-1112,2305,3417,1471,62,1409
01041,01,Crenshaw County,Alabama,36,-24,186,210,60,34,26,-29,-271,893,1164,245,127,118
01043,01,Cullman County,Alabama,1238,-125,1061,1186,1370,48,1322,6161,-1117,5360,6477,7287,298,6989
01045,01,Dale County,Alabama,-112,32,644,612,-143,13,-156,585,80,3474,3394,477,252,225
01047,01,Dallas County,Alabama,-444,-88,425,513,-353,81,-434,-3325,-756,2270,3026,-2558,332,-2890
01049,01,DeKalb County,Alabama,504,-14,850,864,516,210,306,2465,-706,4351,5057,3139,1122,2017
01051,01,Elmore County,Alabama,526,-51,920,971,579,13,566,3601,-413,4820,5233,3997,260,3737
01053,01,Escambia County,Alabama,-8,-139,398,537,133,-9,142,-102,-802,2224,3026,684,21,663
01055,01,Etowah County,Alabama,411,-294,1166,1460,701,72,629,463,-2508,6094,8602,2896,588,2308
01057,01,Fayette County,Alabama,-49,-89,165,254,39,-4,43,-454,-525,903,1428,68,-9,77
01059,01,Franklin County,Alabama,260,0,432,432,259,141,118,331,-166,2215,2381,483,897,-414
01061,01,Geneva County,Alabama,223,-140,302,442,366,42,324,896,-871,1549,2420,1745,240,1505
01063,01,Greene County,Alabama,-69,-44,81,125,-26,-1,-25,-665,-228,461,689,-439,-1,-438
01065,01,Hale County,Alabama,48,2,199,197,46,0,46,409,-121,1060,1181,519,2,517
01067,01,Henry County,Alabama,160,-76,183,259,237,27,210,1250,-430,929,1359,1682,87,1595
01069,01,Houston County,Alabama,611,21,1295,1274,581,132,449,3114,-433,6807,7240,3454,944,2510
01071,01,Jackson County,Alabama,346,-214,577,791,565,28,537,1712,-1561,2965,4526,3238,211,3027
01073,01,Jefferson County,Alabama,-843,323,7978,7655,-1173,1802,-2975,-8588,-1272,41549,42821,-7408,9772,-17180
01075,01,Lamar County,Alabama,34,-68,142,210,104,-2,106,-379,-393,807,1200,27,-3,30
01077,01,Lauderdale County,Alabama,-163,-336,930,1266,165,53,112,3569,-1916,4896,6812,5497,385,5112
01079,01,Lawrence County,Alabama,192,-98,357,455,291,3,288,772,-721,1906,2627,1464,49,1415
01081,01,Lee County,Alabama,2099,539,1877,1338,1533,844,689,15544,2752,9985,7233,12636,4579,8057
01083,01,Limestone County,Alabama,3877,222,1322,1100,3697,65,3632,19365,632,6484,5852,18629,887,17742
01085,01,Lowndes County,Alabama,-158,-77,114,191,-79,1,-80,-957,-371,615,986,-572,16,-588
01087,01,Macon County,Alabama,-143,-31,172,203,-110,26,-136,-1399,-416,880,1296,-958,126,-1084
01089,01,Madison County,Alabama,10445,659,4565,3906,9872,1153,8719,45358,2779,23475,20696,42495,6334,36161
01091,01,Marengo County,Alabama,-159,-123,186,309,-35,28,-63,-1010,-561,1088,1649,-436,125,-561
01093,01,Marion County,Alabama,-261,-121,329,450,-138,12,-150,-246,-782,1685,2467,529,81,448
01095,01,Marshall County,Alabama,677,177,1475,1298,490,267,223,5932,673,7821,7148,5141,2233,2908
01097,01,Mobile County,Alabama,-535,127,5048,4921,-676,320,-996,-3154,-496,26617,27113,-2680,2477,-5157
01099,01,Monroe County,Alabama,-124,-74,213,287,-50,4,-54,-807,-475,1148,1623,-337,17,-354
01101,01,Montgomery County,Alabama,2,426,2800,2374,-427,864,-1291,-3062,1896,15345,13449,-4905,4621,-9526
01103,01,Morgan County,Alabama,235,35,1515,1480,193,232,-39,3044,-669,7749,8418,3637,1620,2017
01105,01,Perry County,Alabama,-201,-78,73,151,-121,15,-136,-1087,-330,459,789,-779,42,-821
01107,01,Pickens County,Alabama,-248,-85,190,275,-162,7,-169,-906,-574,966,1540,-319,77,-396
01109,01,Pike County,Alabama,489,14,373,359,477,93,384,685,-121,1935,2056,796,423,373
01111,01,Randolph County,Alabama,97,-104,241,345,201,2,199,1192,-514,1316,1830,1700,63,1637
01113,01,Russell County,Alabama,-61,-228,518,746,166,26,140,-272,-332,3678,4010,87,262,-175
01115,01,St. Clair County,Alabama,1160,-96,1060,1156,1258,11,1247,6702,-940,5381,6321,7579,136,7443
01117,01,Shelby County,Alabama,2746,565,2391,1826,2181,464,1717,15521,2454,12284,9830,13153,2866,10287
01119,01,Sumter County,Alabama,-41,-54,98,152,15,2,13,-759,-220,626,846,-503,49,-552
01121,01,Talladega County,Alabama,122,-255,832,1087,376,41,335,-534,-1645,4543,6188,1173,262,911
01123,01,Tallapoosa County,Alabama,61,-188,405,593,248,22,226,-362,-1190,2125,3315,814,193,621
01125,01,Tuscaloosa County,Alabama,488,561,2512,1951,-96,663,-759,13235,2053,13143,11090,12270,2970,9300
01127,01,Walker County,Alabama,23,-308,805,1113,332,65,267,-211,-2088,4132,6220,1851,401,1450
01129,01,Washington County,Alabama,-150,-51,169,220,-96,-1,-95,-569,-232,945,1177,-329,1,-330
01131,01,Wilcox County,Alabama,-224,-55,110,165,-168,5,-173,-936,-278,606,884,-665,39,-704
01133,01,Winston County,Alabama,-41,-105,267,372,64,13,51,272,-722,1327,2049,991,126,865
02013,02,Aleutians East Borough,Alaska,15,-3,11,14,16,73,-57,60,-4,67,71,52,325,-273
02016,02,Aleutians West Census Area,Alaska,67,-2,17,19,66,118,-52,8,15,115,100,-4,565,-569
02020,02,Anchorage Municipality,Alaska,-214,1365,3572,2207,-1581,1136,-2717,-4087,7067,18957,11890,-11134,5693,-16827
02050,02,Bethel Census Area,Alaska,26,247,377,130,-221,8,-229,-274,1308,2077,769,-1601,153,-1754
02060,02,Bristol Bay Borough,Alaska,-18,-4,8,12,-12,17,-29,6,-1,46,47,6,50,-44
02063,02,Chugach Census Area,Alaska,-31,8,44,36,-40,1,-41,-554,92,349,257,-647,31,-678
02066,02,Copper River Census Area,Alaska,-17,0,34,34,-16,1,-17,52,24,143,119,27,0,27
02068,02,Denali Borough,Alaska,26,6,14,8,20,0,20,-7,50,90,40,-55,22,-77
02070,02,Dillingham Census Area,Alaska,-106,16,65,49,-120,10,-130,-374,121,385,264,-491,47,-538
02090,02,Fairbanks North Star Borough,Alaska,-652,620,1252,632,-1261,186,-1447,-1693,3747,7049,3302,-5392,929,-6321
02100,02,Haines Borough,Alaska,0,-4,13,17,4,1,3,-16,-3,96,99,-13,15,-28
02105,02,Hoonah-Angoon Census Area,Alaska,-23,-6,21,27,-19,0,-19,-90,-21,110,131,-75,6,-81
02110,02,Juneau City and Borough,Alaska,23,71,291,220,-52,97,-149,-646,337,1498,1161,-992,363,-1355
