FIPS,State,County_Name,Population_2020,RUCC_2023,Description
01001,AL,Autauga County,58805,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01003,AL,Baldwin County,231767,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01005,AL,Barbour County,25223,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01007,AL,Bibb County,22293,1,Metro - Counties in metro areas of 1 million population or more
01009,AL,Blount County,59134,1,Metro - Counties in metro areas of 1 million population or more
01011,AL,Bullock County,10357,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01013,AL,Butler County,19051,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01015,AL,Calhoun County,116441,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01017,AL,Chambers County,34772,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01019,AL,Cherokee County,24971,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01021,AL,Chilton County,45014,1,Metro - Counties in metro areas of 1 million population or more
01023,AL,Choctaw County,12665,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01025,AL,Clarke County,23087,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01027,AL,Clay County,14236,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01029,AL,Cleburne County,15056,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01031,AL,Coffee County,53465,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01033,AL,Colbert County,57227,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01035,AL,Conecuh County,11597,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01037,AL,Coosa County,10387,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01039,AL,Covington County,37570,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01041,AL,Crenshaw County,13194,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01043,AL,Cullman County,87866,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01045,AL,Dale County,49326,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01047,AL,Dallas County,38462,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01049,AL,DeKalb County,71608,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01051,AL,Elmore County,87977,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01053,AL,Escambia County,36757,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01055,AL,Etowah County,103436,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01057,AL,Fayette County,16321,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01059,AL,Franklin County,32113,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01061,AL,Geneva County,26659,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01063,AL,Greene County,7730,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01065,AL,Hale County,14785,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01067,AL,Henry County,17146,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01069,AL,Houston County,107202,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01071,AL,Jackson County,52579,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01073,AL,Jefferson County,674721,1,Metro - Counties in metro areas of 1 million population or more
01075,AL,Lamar County,13972,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01077,AL,Lauderdale County,93564,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01079,AL,Lawrence County,33073,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01081,AL,Lee County,174241,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01083,AL,Limestone County,103570,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
